Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
MDP,$26.18 M,N/A,$-0.71,N/A
MVP,$50.56 M,N/A,$-0.27,N/A
DR,$219.55 M,38.92,$0.22,3.83%
MDNA,$46.16 M,N/A,$-0.16,N/A
MPH,$11.43 M,7.82,$0.13,N/A
LABS,$27.31 M,N/A,$-0.09,N/A
MMEN,$41.19 M,N/A,$-0.13,N/A
MIR,$62.77 M,N/A,$0.00,N/A
MNOW,$2.54 M,N/A,$-1.28,N/A
MDX,$14.70 M,N/A,$-0.03,N/A
MEED.P,"$302,500",N/A,$0.00,N/A
MEG,$6.26 B,10.53,$2.03,N/A
MGA,$66.54 M,N/A,$-0.05,N/A
MEGA,$1.88 M,N/A,$-1.38,N/A
MRD,$367.80 M,4.16,$2.78,5.54%
MR.UT,$60.69 M,4.41,$1.07,10.17%
OEE,$1.38 M,N/A,$0.00,N/A
MENE,$89.60 M,N/A,$-0.01,N/A
MNO,$83.82 M,N/A,$-0.07,N/A
MYR,"$557,789",N/A,$-0.02,N/A
MERG,$2.86 M,N/A,$-0.06,N/A
MTX,$10.08 M,5.36,$0.01,N/A
METL,$1.78 M,N/A,$-0.03,N/A
MTA,$317.85 M,N/A,$-0.29,N/A
MMG,$58.09 M,N/A,$-0.04,N/A
MTS,$3.94 M,N/A,$-0.01,N/A
MET,$4.72 M,2.33,$1.14,N/A
MQM,$3.23 M,N/A,$-0.02,N/A
MMAX,$133.55 M,N/A,$-0.78,N/A
MWRK,$9.42 M,N/A,$-0.09,N/A
MX,$3.99 B,11.77,$4.91,1.74%
MRU,$17.50 B,19.51,$3.75,1.65%
MEX,$2.23 M,N/A,$-0.03,N/A
MBX,$57.46 M,N/A,$-0.01,N/A
MRM,$71.86 M,N/A,$0.00,N/A
MD,$43.04 M,N/A,$-0.02,N/A
MMA,$28.82 M,N/A,$-0.03,N/A
MJEM,"$224,353",N/A,$-0.06,N/A
MILL,$1.72 M,N/A,$-0.01,N/A
MLP,$19.99 M,N/A,$-0.08,N/A
MSC,$1.11 M,N/A,$0.00,N/A
MIM,$11.90 M,N/A,$-0.09,N/A
MSP,$2.43 M,N/A,$-0.02,N/A
MGG,$66.00 M,N/A,$-0.02,N/A
MMM,$3.36 M,N/A,$-0.06,N/A
MSV,$12.21 M,3.86,$0.05,N/A
MBIO,N/A,N/A,N/A,N/A
MSET,$27.15 M,N/A,$-0.05,N/A
MHUB,$16.30 M,N/A,$-0.16,N/A
MAI,$160.19 M,27.60,$0.01,N/A
MIRL,$11.22 M,N/A,$-0.05,N/A
MMV,$9.30 M,N/A,$-0.01,N/A
MSA,$189.29 M,20.52,$0.03,14.11%
MVAI,$3.46 M,N/A,$-0.04,N/A
MNLX,N/A,N/A,N/A,N/A
MINK,$1.80 M,N/A,$-0.10,N/A
MCI,$3.84 M,N/A,$-0.01,N/A
MSR,$147.50 M,N/A,$-0.02,N/A
MI.UT,$609.06 M,6.83,$2.24,3.21%
MRZ,$69.70 M,N/A,$-0.13,N/A
MRS,$13.20 M,N/A,$-0.11,N/A
MIS,$8.33 M,N/A,$-0.02,N/A
MKA,$51.07 M,N/A,$-0.04,N/A
MOS,$2.66 M,N/A,$-0.02,N/A
MBLM,$2.41 M,N/A,$-0.09,N/A
MEAT,$11.78 M,N/A,$-0.23,N/A
MOGO,$77.97 M,N/A,$-2.03,N/A
MOJO,"$563,334",N/A,$-0.01,N/A
MLCL,$1.96 M,N/A,$-0.04,N/A
TPX.B,$18.11 B,N/A,$-1.25,2.42%
MOLT,$1.86 M,N/A,$-0.03,N/A
MMN,$1.90 M,N/A,$-0.01,N/A
GBAR,$13.41 M,N/A,$-0.58,N/A
ME,$111.98 M,N/A,$-0.20,N/A
YAK,$33.04 M,6.07,$0.20,N/A
MNG,$2.09 M,N/A,$-0.01,N/A
MVI.H,"$366,257",N/A,$-0.02,N/A
MAU,$107.54 M,N/A,$-0.09,N/A
MY,"$706,975",N/A,$-0.08,N/A
MON,$1.55 M,N/A,$-0.01,N/A
MONT,$26.08 M,32.02,$0.01,N/A
MONT.PRA,N/A,N/A,N/A,8.42%
MNRL,$2.89 M,N/A,$-0.07,N/A
MOO.P,"$800,800",N/A,$0.00,N/A
MVY,$12.40 M,N/A,$-0.01,N/A
MRC,$1.14 B,N/A,$-10.91,0.59%
MRG.UT,$965.45 M,12.11,$1.42,4.18%
MRT.UT,$346.91 M,N/A,$-2.16,4.43%
MOX,$27.24 M,N/A,$0.00,1.89%
MOC,$5.42 M,N/A,$-0.01,N/A
MPVD,$101.24 M,1.96,$0.25,N/A
MVMD,$19.78 M,N/A,$-0.02,N/A
MPXI,"$721,613",N/A,$-0.20,N/A
MTB,$9.55 M,N/A,$-0.02,N/A
MTY,$1.46 B,18.13,$3.13,1.62%
MTL,$1.46 B,8.87,$1.77,4.58%
MUN,$21.80 M,N/A,$-0.02,N/A
MUR,$14.18 M,N/A,$-0.03,N/A
MUSK,$2.21 M,N/A,$-0.03,N/A
MGRO,$104.78 M,N/A,$-0.11,N/A
MUZU,$2.03 M,N/A,$-0.05,N/A
MXL.H,$1.21 M,20.83,$0.00,N/A
MYND,$2.34 M,N/A,$-0.07,N/A
M,$6.43 M,N/A,$-0.03,N/A
MEAL,"$242,129",N/A,$-0.06,N/A
URL,$16.21 M,N/A,$-0.02,N/A
NMI,$21.63 M,N/A,$0.00,N/A
NSCI,$49.00 M,N/A,$-0.10,N/A
NANO,$283.31 M,N/A,$-0.20,N/A
NSHS,"$256,880",N/A,$-0.03,N/A
GRA,$459.47 M,N/A,$-0.08,N/A
NATN,N/A,N/A,N/A,N/A
NA,$34.59 B,10.70,$9.47,3.83%
NA.PRS,N/A,N/A,N/A,5.93%
NA.PRW,N/A,N/A,N/A,5.81%
NA.PRE,N/A,N/A,N/A,5.57%
NA.PRC,N/A,N/A,N/A,6.95%
NA.PRG,N/A,N/A,N/A,5.82%
NSP,"$771,457",N/A,$-0.13,N/A
NAV,$2.01 M,N/A,$-0.02,N/A
NDAT,$2.32 M,N/A,$-0.04,N/A
NBLY,$924.97 M,"4,604.44",$0.00,0.87%
NBM,$21.44 M,N/A,$-0.02,N/A
NEO,$390.05 M,10.96,$0.81,4.52%
NPRA,$2.34 M,N/A,$-0.14,N/A
NPRA.WT,N/A,N/A,N/A,N/A
NDA,$28.73 M,N/A,$-0.22,N/A
NERD,$5.36 M,N/A,$-0.01,N/A
NGEN,$94.47 M,N/A,$-0.37,N/A
AIAI,$17.95 M,N/A,$-0.27,N/A
NTE,$4.63 M,4.85,$0.01,N/A
NPTH,$8.55 M,N/A,$-0.08,N/A
NU,$1.66 M,N/A,$0.00,N/A
NCU,$202.58 M,N/A,$-1.07,N/A
NKG,$130.93 M,N/A,$-0.06,N/A
NOP,N/A,N/A,N/A,N/A
NEV,$12.48 M,N/A,$-0.03,N/A
NZN,$4.48 M,N/A,$-0.01,N/A
VDO.H,"$488,763",N/A,$-0.02,N/A
NAU,$22.86 M,N/A,$-0.04,N/A
NAM,$12.22 M,N/A,$0.00,N/A
ENRG,$5.14 M,N/A,$0.00,N/A
NFG,$1.03 B,N/A,$-0.51,N/A
VFI.X,"$130,682",N/A,$-0.06,N/A
NGD,$1.19 B,N/A,$-0.18,N/A
NLV,$4.97 M,N/A,$-0.25,N/A
NUAG,$510.41 M,N/A,$-0.07,N/A
NSE,$30.81 M,1.52,$0.16,N/A
NEW,$1.62 M,N/A,$-0.01,N/A
SPOR,"$919,263",N/A,$-0.25,N/A
NZ,$1.86 M,N/A,$-0.02,N/A
NEWD,$2.80 M,N/A,$-0.01,N/A
LUX,$25.52 M,N/A,$-0.01,N/A
NGT,$46.87 B,N/A,$-0.96,3.80%
NEWO,$2.07 M,N/A,$-0.02,N/A
PATH,$1.82 M,N/A,$-1.76,N/A
NWX,$27.98 M,6.78,$0.04,14.81%
NEWU,$7.08 M,N/A,$-0.07,N/A
NEXE,$40.57 M,N/A,$-0.06,N/A
NGY,$2.19 M,N/A,$-0.10,N/A
NXE,$2.55 B,N/A,$-0.08,N/A
NXLV,$37.90 M,4.92,$0.03,1.60%
NXO,$8.11 M,N/A,$-0.03,N/A
NTAR,$70.79 M,N/A,$-0.32,N/A
NEXT,$221.53 M,8.41,$0.24,N/A
NXS,$2.23 M,N/A,$-0.07,N/A
NXR.UT,$794.30 M,6.68,$1.35,7.10%
GASX,$81.33 M,N/A,$-0.09,N/A
NGEX,$1.16 B,N/A,$-0.23,N/A
NICN,N/A,N/A,N/A,N/A
NCP,$13.02 M,N/A,$0.00,N/A
NNX,$2.01 M,N/A,$-0.01,N/A
NIM,$43.80 M,N/A,$0.00,N/A
NHK,$74.97 M,N/A,$-0.19,N/A
NHK.WT,N/A,N/A,N/A,N/A
NINE,$13.69 M,N/A,$-0.05,N/A
NIO,$7.57 M,N/A,$-0.01,N/A
NBY,$6.06 M,N/A,$-0.06,N/A
NB,$203.65 M,N/A,$-0.44,N/A
NIRV,N/A,N/A,N/A,N/A
NOAL,$1.20 M,N/A,$-0.01,N/A
NBLC,$3.42 M,N/A,$-0.04,N/A
NIR.H,$8.18 M,N/A,$-0.15,N/A
NMG.H,"$512,417",N/A,$0.00,N/A
NOB,$10.08 M,N/A,$-0.04,N/A
NRM,$62.19 M,93.24,$0.01,N/A
NOCR,"$795,367",N/A,$-0.02,N/A
CHCK,N/A,N/A,N/A,N/A
VKG.H,$1.06 M,N/A,$0.00,N/A
NOC,$4.45 M,N/A,$-0.08,N/A
NOM,$14.20 M,N/A,$-0.10,N/A
NVT,$1.53 M,N/A,$-0.01,N/A
FFN.PRA,N/A,N/A,N/A,8.17%
NAR,$7.25 M,N/A,$-0.01,N/A
NPR,$29.32 M,N/A,$-0.19,N/A
NVR,"$596,000",N/A,$-0.01,N/A
NWC,$1.83 B,15.00,$2.51,4.03%
NCF,$11.49 M,N/A,$-0.01,N/A
NDM,$150.99 M,N/A,$-0.05,N/A
NGC,$46.82 M,N/A,$-0.14,N/A
NLR,"$512,643",N/A,$-0.01,N/A
SUP,$54.54 M,22.39,$0.02,N/A
UNO.H,$1.62 M,N/A,$0.00,N/A
NPI.PRA,N/A,N/A,N/A,5.26%
NPI.PRB,N/A,N/A,N/A,8.81%
ROOF,$13.04 M,N/A,$-0.08,N/A
ROOF.WT,N/A,N/A,N/A,N/A
BET,N/A,N/A,N/A,N/A
NBR,$3.90 M,N/A,$-0.01,N/A
NGMD,$17.52 M,N/A,$-0.14,N/A
NWI,$2.87 M,N/A,$0.00,N/A
NUMI,$41.00 M,N/A,$-0.20,N/A
NUR,$9.52 M,N/A,$-0.29,N/A
NRX,$6.29 M,N/A,$-0.24,N/A
NTR,$41.85 B,4.90,$16.61,3.51%
NVEI,$6.07 B,113.21,$0.39,N/A
NVA,$2.55 B,4.26,$2.74,N/A
NVX,$5.20 M,N/A,$-0.01,N/A
SFD,$15.14 M,N/A,$-0.09,N/A
OIII,$110.95 M,N/A,$-0.05,N/A
OBRN,N/A,N/A,N/A,N/A
OBE,$662.14 M,0.85,$9.85,N/A
OGC,$2.01 B,17.50,$0.16,0.96%
FEO,$7.74 M,N/A,$-0.01,N/A
NKW.H,$3.95 M,N/A,$0.00,N/A
OSIX,$10.08 M,N/A,$-0.03,N/A
OVT,$10.27 M,N/A,$-0.02,N/A
OTC,$11.58 M,N/A,$-0.02,N/A
ODD,$6.82 M,N/A,$-0.05,N/A
OC,$2.77 M,N/A,$-0.05,N/A
OLY,$188.42 M,11.26,$7.11,6.75%
OMG,$19.95 M,N/A,$-0.02,N/A
OMM,$11.68 M,N/A,$-0.01,N/A
OML,$8.17 M,N/A,$-0.17,N/A
ONC,$149.34 M,N/A,$-0.41,N/A
OWLI,$7.18 M,N/A,$-0.01,N/A
OEG.H,"$959,000",N/A,$-0.06,N/A
ONEX,$4.80 B,N/A,$-2.15,0.65%
OOOO,$1.87 M,N/A,$-0.08,N/A
OTEX,$15.21 B,36.57,$1.50,2.38%
OPHR,$19.73 M,N/A,$-0.01,N/A
OPS,$165.90 M,N/A,$-0.12,N/A
OPTI,$20.83 M,N/A,$-0.08,N/A
OMND,$2.44 M,N/A,$-0.03,N/A
OPV,$6.83 M,N/A,$-0.05,N/A
OOR,$4.64 M,N/A,$-0.01,N/A
OEC.H,$1.64 M,N/A,$-0.01,N/A
OGD,$29.52 M,7.80,$0.10,N/A
ORC.B,$208.69 M,3.21,$1.57,5.89%
OREA,$21.56 M,N/A,$-0.17,N/A
OCI,$12.39 M,N/A,$0.00,N/A
ORS,$1.70 M,N/A,$-0.01,N/A
REX,$4.68 M,N/A,$-0.01,N/A
ORE,$484.17 M,13.08,$0.11,N/A
ORM,$21.39 M,N/A,$-0.01,N/A
OPC,$1.21 M,N/A,$0.00,N/A
OGO,$25.40 M,N/A,$-0.04,N/A
ORGN,$9.46 M,N/A,$-0.05,N/A
OLA,$1.94 B,34.79,$0.17,N/A
OCO,$163.56 M,N/A,$-0.03,N/A
OGN,$94.98 M,112.77,$0.00,N/A
ONV.H,"$438,028",N/A,$0.00,N/A
OMI,$17.91 M,N/A,$0.00,N/A
ORV,$26.64 M,N/A,$-0.08,N/A
OSI,$186.70 M,N/A,$-0.23,N/A
ODV,$506.83 M,N/A,$-2.55,N/A
ODV.WT,N/A,N/A,N/A,N/A
ODV.WTA,N/A,N/A,N/A,N/A
ODV.WTB,N/A,N/A,N/A,N/A
OR,$4.05 B,94.54,$0.23,1.10%
GOGR.WT,N/A,N/A,N/A,N/A
OM,$60.93 M,N/A,$-0.09,N/A
OSK,$1.12 B,N/A,$-0.09,N/A
OZ,$3.50 M,N/A,$-0.03,N/A
OCG,$38.95 M,N/A,$-0.07,N/A
OAM,$12.47 M,N/A,$-0.46,N/A
OVV,$11.40 B,2.17,$22.55,3.30%
OZLI,$2.81 M,N/A,$-0.05,N/A
PGLD,$19.08 M,N/A,$-0.14,N/A
PXE,$6.53 M,1.70,$0.07,N/A
PAV.H,$2.33 M,N/A,$-0.01,N/A
PBM,$1.77 M,N/A,$0.00,N/A
BKM,$12.61 M,N/A,$-1.93,N/A
PEMC,$2.71 M,N/A,$-0.01,N/A
PAC,$6.27 M,N/A,$-0.15,N/A
PALI,$90.67 M,N/A,$-0.69,N/A
PDM,$35.82 M,N/A,$-0.03,N/A
PM,$7.01 M,N/A,$-0.08,N/A
PNRG,$27.34 M,N/A,$-0.46,N/A
PGZ,$74.25 M,N/A,$-0.04,N/A
PNGA,$7.20 M,N/A,$-0.05,N/A
NARA,$4.73 M,N/A,$-0.14,N/A
PML,$38.33 M,N/A,$0.00,N/A
POU,$4.33 B,5.19,$5.84,4.95%
PKG,$3.93 M,N/A,$-0.02,N/A
PAR.H,$1.02 M,N/A,$-0.02,N/A
PXT,$3.00 B,4.12,$6.77,4.48%
PLC,$855.33 M,31.84,$0.80,1.79%
PKT,$206.46 M,N/A,$-0.02,N/A
PKI,$6.02 B,17.20,$2.01,3.93%
PVF.WT,N/A,N/A,N/A,N/A
PVS.PRK,N/A,N/A,N/A,5.00%
PVS.PRF,N/A,N/A,N/A,4.93%
PVS.PRG,N/A,N/A,N/A,5.13%
PVS.PRI,N/A,N/A,N/A,4.93%
PVS.PRJ,N/A,N/A,N/A,5.00%
PVS.PRH,N/A,N/A,N/A,5.03%
PVIS,"$850,971",N/A,$-0.01,N/A
PSE,$5.78 M,2.84,$0.01,N/A
VEIN,$20.36 M,N/A,$-0.17,N/A
PSI,$957.32 M,7.77,$1.52,4.06%
PGDC,$4.67 M,N/A,$-0.01,N/A
RV,$2.20 M,N/A,N/A,N/A
PHC,$5.15 M,N/A,$-0.09,N/A
PMET,$1.49 B,N/A,$-0.10,N/A
PGOL,$7.06 M,6.29,$0.01,N/A
PAY,$283.72 M,262.50,$0.02,N/A
HE.H,$1.17 M,0.09,$0.69,N/A
PEK,N/A,N/A,N/A,N/A
PRH,$6.83 M,55.56,$0.00,N/A
VBN,$2.61 M,N/A,$-0.01,N/A
PEGA,"$938,748",N/A,$-0.30,N/A
PGA,N/A,N/A,N/A,N/A
PX,$2.28 M,N/A,$-0.02,N/A
PMC,$14.27 M,N/A,$-0.02,N/A
PPL,$23.14 B,8.49,$4.92,6.39%
PPL.PRO,N/A,N/A,N/A,7.46%
PPL.PRQ,N/A,N/A,N/A,6.87%
PPL.PRS,N/A,N/A,N/A,5.73%
PPL.PRA,N/A,N/A,N/A,7.38%
PPL.PFE,N/A,N/A,N/A,6.95%
PPL.PFA,N/A,N/A,N/A,7.07%
PPL.PRG,N/A,N/A,N/A,6.59%
PPL.PRC,N/A,N/A,N/A,6.85%
PPL.PRE,N/A,N/A,N/A,4.97%
PEM.P,N/A,N/A,N/A,N/A
PINK,$114.16 M,N/A,$-0.21,N/A
PERK,$3.01 M,N/A,$-0.02,N/A
OIL,$5.41 M,N/A,$-2.82,N/A
PPTA,$408.73 M,N/A,$-0.57,N/A
PMT,$32.45 M,1.07,$0.49,N/A
PRU,$2.51 B,8.53,$0.20,1.40%
PRSN,$24.60 M,216.67,$0.00,N/A
PESO,$10.93 M,N/A,$-0.23,N/A
PET,$2.43 B,25.00,$1.35,1.19%
PTP.H,"$352,888",N/A,$-0.02,N/A
PPL.PRQ,N/A,N/A,N/A,6.87%
PPL.PRS,N/A,N/A,N/A,5.73%
PPL.PFE,N/A,N/A,N/A,6.95%
PPL.PFA,N/A,N/A,N/A,7.07%
PPL.PRG,N/A,N/A,N/A,6.59%
PPL.PRC,N/A,N/A,N/A,6.85%
PPL.PRE,N/A,N/A,N/A,4.97%
PEM.P,N/A,N/A,N/A,N/A
PINK,$114.16 M,N/A,$-0.21,N/A
PERK,$3.01 M,N/A,$-0.02,N/A
OIL,$5.41 M,N/A,$-2.82,N/A
PPTA,$408.73 M,N/A,$-0.57,N/A
PMT,$32.45 M,1.07,$0.49,N/A
PRU,$2.51 B,8.53,$0.20,1.40%
PRSN,$24.60 M,216.67,$0.00,N/A
PESO,$10.93 M,N/A,$-0.23,N/A
PESO.WT,N/A,N/A,N/A,N/A
PET,$2.43 B,25.00,$1.35,1.19%
PTP.H,"$352,888",N/A,$-0.02,N/A
PFC,$23.37 M,33.33,$0.00,N/A
PCQ,$6.14 M,N/A,$-0.01,N/A
TAL,$681.15 M,2.88,$0.27,N/A
VRY,$53.34 M,N/A,$-0.41,N/A
PRQ,$188.18 M,3.00,$0.54,N/A
PEY,$2.02 B,5.40,$2.18,11.22%
PHRX,$1.78 M,N/A,$-0.02,N/A
MDMA,$36.10 M,N/A,$-0.01,N/A
PHRM,$11.02 M,N/A,$-0.08,N/A
PHNM,$26.54 M,N/A,$-0.02,N/A
PHX,$313.86 M,4.65,$1.36,7.53%
PNE,$499.75 M,5.31,$0.28,8.90%
PINE.UT,$2.13 M,N/A,$0.00,6.00%
PNP,$36.61 M,11.17,$0.35,N/A
PIPE,$701.63 M,3.22,$0.80,4.69%
PVT,$78.53 M,N/A,$-0.27,N/A
PZA,$469.22 M,16.55,$0.89,5.90%
PJX,$13.99 M,N/A,$-0.01,N/A
NPT,$1.16 M,N/A,$-0.03,N/A
PLTH,$177.23 M,N/A,$-0.33,N/A
PBF,$3.87 M,N/A,$-0.11,N/A
PXI,$3.87 M,N/A,$-0.03,N/A
PLNK,$1.69 M,N/A,$-0.11,N/A
MILK,$1.11 M,N/A,$-0.13,N/A
FUEL,"$544,924",N/A,$-1.09,N/A
PTFY,$5.49 M,N/A,N/A,N/A
MYLK,$31.27 M,N/A,$-0.11,N/A
VEGA,"$191,459",N/A,$-725.03,N/A
PLA,"$790,347",N/A,$0.00,N/A
PTX,$8.88 M,N/A,$-0.01,N/A
PTM,$203.42 M,N/A,$-0.07,N/A
PLY,$4.70 M,N/A,$0.00,N/A
DEAL,$17.73 M,N/A,$-0.07,N/A
PMKR,$95.64 M,N/A,$-0.02,N/A
PLZ.UT,$409.25 M,12.53,$0.32,6.95%
PLRB,$16.30 M,N/A,N/A,N/A
PLUR,$9.94 M,N/A,$-0.11,N/A
PRT,$5.93 M,N/A,$-0.03,N/A
PTK,$230.46 M,N/A,$-0.74,N/A
PBL,$672.94 M,36.86,$0.65,0.66%
POM,$423.56 M,N/A,$-0.38,N/A
POND,$3.26 M,N/A,$-0.08,N/A
HULK,"$422,022",N/A,$-0.08,N/A
POPR,$48.53 M,N/A,$-0.01,N/A
PBIT,$115.89 M,10.19,$0.08,N/A
POW,$23.89 B,12.60,$2.83,5.89%
POW.PRD,N/A,N/A,N/A,6.24%
POW.PRB,N/A,N/A,N/A,6.24%
POW.PRA,N/A,N/A,N/A,6.32%
POW.PRG,N/A,N/A,N/A,6.33%
POW.PRC,N/A,N/A,N/A,6.20%
PWF.PRT,N/A,N/A,N/A,6.09%
PWF.PFA,N/A,N/A,N/A,6.12%
PWF.PRS,N/A,N/A,N/A,6.25%
PWF.PRK,N/A,N/A,N/A,6.28%
PWF.PRL,N/A,N/A,N/A,6.31%
PWF.PRZ,N/A,N/A,N/A,6.28%
PWF.PRF,N/A,N/A,N/A,6.22%
PWF.PRR,N/A,N/A,N/A,6.37%
PWF.PRE,N/A,N/A,N/A,6.39%
PWF.PRH,N/A,N/A,N/A,6.35%
PWF.PRO,N/A,N/A,N/A,6.37%
PWF.PRG,N/A,N/A,N/A,6.31%
PWF.PRQ,N/A,N/A,N/A,9.20%
PWF.PRA,N/A,N/A,N/A,6.99%
PGP,$1.20 M,N/A,$-0.05,N/A
PWM,$29.93 M,N/A,$-0.03,N/A
PNPN,$31.84 M,N/A,$-0.05,N/A
PBX,$8.83 M,N/A,$-0.11,N/A
POWR,$8.05 M,N/A,$-0.09,N/A
PPX,$7.80 M,5.36,$0.00,N/A
PPR,$11.06 M,2.30,$0.04,N/A
PSK,$5.53 B,18.14,$1.30,4.08%
PRG,$7.18 M,6.38,$0.01,N/A
PD,$863.71 M,10.37,$6.04,N/A
PMED,$12.52 M,N/A,$-0.02,N/A
PHA,$14.88 M,N/A,$-0.01,N/A
PBH,$4.60 B,31.59,$3.21,3.04%
PIC.PRA,N/A,N/A,N/A,6.39%
PNRL,$61.51 M,N/A,$-0.59,N/A
PREV,$16.06 M,N/A,$0.00,N/A
PMZ.UT,$1.24 B,N/A,$-0.06,6.31%
PDV.PRA,N/A,N/A,N/A,4.99%
PRME,$18.79 M,N/A,$-0.01,N/A
PRYM,$250.42 M,N/A,$-0.21,N/A
PRMW,$2.95 B,51.03,$0.37,2.34%
PRS.H,$4.16 M,N/A,$-0.01,N/A
PRIZ,$13.09 M,N/A,$-0.04,N/A
PRV.UT,$326.42 M,6.49,$0.83,8.36%
PMX,"$830,067",N/A,$-0.01,N/A
PRB,$279.66 M,N/A,$-0.18,N/A
PGV,$3.61 M,N/A,$-0.03,N/A
PRN,$363.51 M,N/A,$-1.73,N/A
PLAN,$22.53 M,N/A,$-0.03,N/A
PMN,$64.17 M,N/A,$-3.58,N/A
PRL,$251.95 M,10.60,$0.69,5.46%
PDFI,$2.64 M,N/A,$-0.22,N/A
PRR,$7.28 M,N/A,$-0.06,N/A
PPP,$8.10 M,N/A,$-0.14,N/A
PGX,$4.44 M,N/A,$-0.18,N/A
PEI,$38.14 M,2.10,$0.05,N/A
MAPS,$34.92 M,N/A,$-0.06,N/A
PAU,$7.95 M,N/A,$-0.01,N/A
PHD,$2.43 M,N/A,$0.00,N/A
PRUD,N/A,N/A,N/A,N/A
PSYB,$1.88 M,N/A,$-0.07,N/A
PSYC,$10.16 M,N/A,$-0.03,N/A
PSYG,$9.24 M,N/A,$-0.05,N/A
TORO,$2.35 M,N/A,$-0.04,N/A
PDO,$42.08 M,N/A,$-0.01,N/A
PUL,$25.87 M,11.11,$0.00,N/A
PSD,$95.11 M,N/A,$-0.05,3.09%
PUMA,$17.34 M,N/A,$-0.01,N/A
UX,$1.87 M,N/A,$-0.26,N/A
PE,$32.69 M,N/A,$0.00,N/A
PPB,$2.12 M,N/A,$0.00,N/A
PTU,$18.44 M,N/A,$-0.02,N/A
PUGS,N/A,N/A,N/A,N/A
PUSH,$1.04 M,N/A,$-0.39,N/A
PYR,$154.49 M,N/A,$-0.20,N/A
QCA,$5.87 M,N/A,$-0.16,N/A
QIPT,$277.49 M,138.63,$0.05,N/A
QUIS,$179.94 M,N/A,$-0.03,N/A
QQ,$1.07 M,N/A,$-0.04,N/A
QIS,$41.01 M,N/A,$-0.02,N/A
QYOU,$41.81 M,N/A,$-0.03,N/A
RRR.UT,$5.04 M,N/A,$-0.16,N/A
RAK,$7.26 M,N/A,$-0.04,N/A
CAKE.WT,N/A,N/A,N/A,N/A
RDS,$52.43 M,N/A,$-0.01,N/A
RDU,$16.58 M,15.45,$0.01,N/A
RAIL,N/A,N/A,N/A,N/A
RLT.P,$1.95 M,N/A,$-0.01,N/A
RAIN,"$390,478",N/A,$-0.23,N/A
RKV,$5.90 M,N/A,$-0.04,N/A
RAMM,$7.96 M,N/A,$-0.17,N/A
RNCH,$1.47 M,N/A,N/A,N/A
DOSE,$13.46 M,N/A,$-0.09,N/A
RTH,$6.91 M,N/A,$-0.01,N/A
RZE,$28.33 M,N/A,$-0.86,N/A
RBA,$13.75 B,60.51,$1.27,1.88%
RDRS,$3.40 M,N/A,N/A,N/A
RE,$28.27 M,N/A,$-0.01,5.48%
RGG,$6.70 M,N/A,$-0.06,N/A
REAX,$287.88 M,N/A,$-0.18,N/A
RS,$82.14 M,N/A,$-5.28,10.86%
RS.PRA,N/A,N/A,N/A,5.53%
LUCK,$7.21 M,N/A,$-0.13,N/A
REAL,$375.82 M,N/A,$-0.34,N/A
RR,$7.97 M,N/A,$-0.28,N/A
RECO,$239.93 M,N/A,$-0.26,N/A
RECO.WTA,N/A,N/A,N/A,N/A
AMY,$93.55 M,N/A,$-0.02,N/A
RGLD,$2.80 M,N/A,$-0.01,N/A
TRIP,$30.44 M,N/A,$-0.03,N/A
TRIP.WT,N/A,N/A,N/A,N/A
RPX,$22.58 M,N/A,$-0.11,N/A
RWB,$32.87 M,N/A,$-0.54,N/A
KUT,$70.06 M,11.68,$0.32,N/A
RMC,$7.31 M,N/A,$-0.22,N/A
RFLX,$12.17 M,N/A,N/A,N/A
GIII,$52.08 M,N/A,$-0.11,N/A
RSMX,$17.37 M,N/A,$-0.15,N/A
RGX,$38.19 M,2.27,$0.05,N/A
REG,$98.36 M,N/A,$-0.04,N/A
RET,$156.51 M,2.23,$1.59,N/A
RET.A,$156.51 M,1.89,$1.59,N/A
MYID,$3.45 M,N/A,$-0.03,N/A
REKO,$29.44 M,15.68,$0.33,N/A
RGC,N/A,N/A,N/A,N/A
RHT,$119.85 M,N/A,$-0.01,N/A
RFR,$6.53 M,N/A,$-0.01,N/A
RW,$6.10 M,N/A,$-0.03,N/A
RP,$10.82 M,N/A,$-0.04,N/A
RSS,$13.53 M,N/A,$-0.02,N/A
RAU,$2.90 M,N/A,N/A,N/A
QSR,$30.80 B,22.53,$4.31,3.08%
QSP.UT,$44.62 B,20.90,$4.73,2.98%
RVX,$34.81 M,N/A,$-0.03,N/A
RGD,$474.89 M,N/A,$-0.03,N/A
REUN,$11.18 M,N/A,$-4.83,N/A
RVG,$40.43 M,N/A,$-0.13,N/A
RVV,$19.49 M,N/A,$-0.04,N/A
REVO,$25.01 M,N/A,$-0.01,N/A
REVV,$12.58 M,N/A,$-0.28,N/A
OWN,$1.28 M,N/A,$-0.01,N/A
REYG,$6.62 M,N/A,$-0.07,N/A
RSLV,$33.37 M,N/A,$-0.08,N/A
RCG,$177.82 M,N/A,$-0.94,N/A
RCG.PRB,N/A,N/A,N/A,7.68%
RYE,$8.75 M,N/A,$-0.18,N/A
RCH,$2.55 B,15.69,$2.86,1.34%
RMD,$4.25 M,N/A,$0.00,N/A
RDG,$12.99 M,N/A,$-0.02,N/A
RMI,"$742,173",N/A,$-0.10,N/A
