Stock Symbol,Buy,Overweight,Hold,Underweight,Sell
YFI,1,0,0,0,0
EDDY,0,0,0,0,0
EDM,1,0,0,0,0
EFV,0,0,0,0,0
TMED,0,0,0,0,0
EGR,0,0,0,0,0
EGT,1,2,0,0,0
ELF,1,0,0,0,0
ELF.PRF,1,0,0,0,0
ELF.PRG,1,0,0,0,0
ELF.PRH,1,0,0,0,0
ERA,1,0,0,0,0
ELD,3,1,6,1,1
ELBM,3,0,1,0,0
EFL,2,0,0,0,0
ELEC,1,0,0,0,0
EML,0,0,0,0,0
ECU,0,0,0,0,0
EFN.PRC,7,1,1,0,0
EFN,7,1,1,0,0
EFN.PRE,7,1,1,0,0
EFN.PRA,7,1,1,0,0
ELMT,0,0,0,0,0
ELEM,1,0,0,0,0
ELVT,1,0,0,0,0
ELVT.WTA,1,0,0,0,0
ELO,2,0,0,0,0
BABY,0,0,1,0,0
ELC,1,0,0,0,0
EMA,5,1,9,0,1
EMA.PRE,5,1,9,0,1
EMA.PRJ,5,1,9,0,1
EMA.PRF,5,1,9,0,1
EMA.PRH,5,1,9,0,1
EMA.PRL,5,1,9,0,1
EMA.PRC,5,1,9,0,1
EMA.PRA,5,1,9,0,1
EMA.PRB,5,1,9,0,1
ECOM,1,1,0,0,0
EMR,0,0,0,0,0
EMER,0,0,0,0,0
EMPS,0,0,0,0,0
EMO,1,0,0,0,0
EMNT,0,0,0,0,0
EMPH,0,0,0,0,0
EMP.A,5,0,2,1,0
EMPR,1,0,0,0,0
EPW,1,0,0,0,0
EMX,1,0,0,0,0
ENA,0,0,1,0,0
ENB,10,1,9,0,0
ENB.PRD,10,1,9,0,0
ENB.PRP,10,1,9,0,0
ENB.PRT,10,1,9,0,0
ENB.PRA,10,1,9,0,0
ENB.PFK,10,1,9,0,0
ENB.PFC,10,1,9,0,0
ENB.PRB,10,1,9,0,0
ENB.PRF,10,1,9,0,0
ENB.PRH,10,1,9,0,0
ENB.PRN,10,1,9,0,0
ENB.PFE,10,1,9,0,0
ENB.PFG,10,1,9,0,0
ENB.PRY,10,1,9,0,0
ENB.PRJ,10,1,9,0,0
ENB.PFA,10,1,9,0,0
EU,4,0,0,0,0
EPO.H,0,0,0,0,1
EDV,14,2,0,0,1
ENEV,0,0,0,0,0
ERF,9,3,2,0,0
ENRT,1,0,0,0,0
EAU,0,0,0,0,0
EGM,0,0,0,0,0
NVRO,1,0,0,0,0
EWS,1,0,0,0,0
ENW,0,0,1,0,0
EONX,0,0,0,0,0
EQ,1,0,0,0,0
EQB,6,2,0,0,0
EQB.PRC,6,2,0,0,0
EQX,4,0,4,0,2
EQTY,1,0,0,0,0
ERD,1,0,0,0,0
ERO,4,2,6,0,0
ESE,1,0,0,0,0
ERC,0,0,0,0,0
ESGW,0,0,0,0,0
ESK,1,0,0,0,0
ESAU,0,0,0,0,0
ESN,0,0,1,0,0
REE,0,0,0,0,0
ESX,0,0,0,0,0
EPRX.WT,2,0,0,0,0
ETR,0,0,0,0,0
EPRX,2,0,0,0,0
EPRX.WTA,2,0,0,0,0
EMN,1,0,0,0,0
ESM,1,0,0,0,0
EOX,0,0,1,0,0
ERE.UT,6,2,4,0,0
EVNI,1,0,0,0,0
EVER,0,0,0,0,0
EVGN,3,0,1,0,0
ET,2,1,0,0,0
ELL,0,0,0,0,0
OKAI,0,0,0,0,0
EXN,0,1,0,0,0
MIN,0,0,1,0,0
EIF,10,1,0,0,0
XTC,0,1,0,0,0
XBLK.X,0,0,0,0,0
EXG,0,0,0,0,0
NFLD,0,0,0,0,0
EXRO,2,0,0,0,0
EXRO.WT,2,0,0,0,0
EXE,0,0,4,0,0
FUU,0,0,0,0,0
FBF,0,0,0,0,0
FABL,0,0,0,0,0
FFH,5,1,1,1,0
FFH.PRD,5,1,1,1,0
FFH.PRJ,5,1,1,1,0
FFH.PRK,5,1,1,1,0
FFH.PRM,5,1,1,1,0
FFH.PRF,5,1,1,1,0
FFH.PRH,5,1,1,1,0
FFH.PRI,5,1,1,1,0
FFH.PRC,5,1,1,1,0
FFH.PRE,5,1,1,1,0
FFH.PRG,5,1,1,1,0
FPC,1,0,0,0,0
FG,0,0,0,0,0
FNC,0,0,0,0,0
FO,1,0,0,0,0
FDM,0,0,0,0,0
FANS,1,0,0,0,0
FDY,2,0,0,0,0
FNI,0,0,0,0,0
FE,0,0,0,0,1
FDGE,0,0,1,0,1
FNDX,0,0,0,0,0
FENX,1,0,0,0,0
FRX,5,1,0,0,0
FMN,0,0,0,0,0
CALI.X,0,0,1,0,0
FDI,1,0,0,0,0
FNQ,0,0,0,0,0
FYL,0,0,0,0,0
FTG,1,0,0,0,0
FFOX,1,0,0,0,0
FLM,1,0,0,0,0
FM,11,2,6,0,2
FLNT,0,0,0,0,1
FLYN,0,0,0,0,0
FLY,2,0,0,0,0
FOBI,0,0,0,0,1
FKM,0,0,0,0,0
FMS,0,0,1,0,0
FOM,6,0,1,0,0
FAR,1,0,0,0,0
FAT,0,0,0,0,0
FSY,1,0,0,0,0
FTJ,0,0,0,0,0
CUAU,0,0,0,0,0
FTS,2,1,10,2,2
FTS.PRH,2,1,10,2,2
